,item_nbr,family,class,perishable
102,165693,GROCERY I,1066,0
103,165704,GROCERY I,1016,0
104,165705,GROCERY I,1016,0
105,165718,BREAD/BAKERY,2718,1
106,165727,GROCERY I,1032,0
107,165988,GROCERY I,1072,0
108,167437,GROCERY II,1236,0
109,168927,CLEANING,3026,0
110,168930,CLEANING,3026,0
112,168989,GROCERY I,1028,0
113,169028,GROCERY I,1040,0
114,169101,CLEANING,3044,0
115,169104,CLEANING,3044,0
116,170791,GROCERY I,1080,0
117,171890,CLEANING,3004,0
118,172184,GROCERY I,1058,0
119,172343,GROCERY I,1004,0
121,173111,GROCERY I,1058,0
122,173113,DAIRY,2114,1
123,174081,BEVERAGES,1136,0
124,176411,CLEANING,3016,0
125,177050,LINGERIE,7034,0
126,177395,GROCERY I,1032,0
127,179274,GROCERY I,1032,0
128,179564,GROCERY I,1032,0
130,179600,GROCERY I,1006,0
131,179615,DAIRY,2112,1
132,205209,MEATS,2302,1
133,205381,GROCERY I,1034,0
134,205387,GROCERY I,1034,0
135,205486,DAIRY,2124,1
136,205557,GROCERY I,1062,0
137,207857,GROCERY I,1010,0
138,208384,EGGS,2502,1
139,208386,EGGS,2502,1
140,208426,DELI,2632,1
141,208498,CLEANING,3044,0
142,208514,GROCERY I,1010,0
143,208530,FROZEN FOODS,2226,0
144,208539,POULTRY,2412,1
145,208659,GROCERY I,1078,0
146,208699,GROCERY I,1034,0
147,209085,CLEANING,3026,0
148,210520,GROCERY II,1236,0
149,210798,GROCERY I,1074,0
150,211203,GROCERY I,1072,0
151,211205,GROCERY I,1072,0
152,211206,GROCERY I,1072,0
153,211999,GROCERY I,1036,0
154,212550,GROCERY I,1036,0
155,212552,GROCERY I,1044,0
156,213066,GROCERY I,1074,0
157,213652,GROCERY I,1048,0
158,213653,GROCERY I,1048,0
159,213788,GROCERY I,1096,0
160,214381,CLEANING,3032,0
161,214859,CLEANING,3032,0
162,214860,CLEANING,3032,0
163,214862,CLEANING,3034,0
164,215303,GROCERY I,1026,0
165,215304,GROCERY I,1026,0
166,215327,GROCERY I,1040,0
167,215331,GROCERY I,1040,0
168,215332,GROCERY I,1040,0
169,215352,GROCERY I,1016,0
170,215356,GROCERY I,1016,0
171,215370,BREAD/BAKERY,2718,1
172,215468,LINGERIE,7034,0
173,215896,GROCERY I,1044,0
174,217827,GROCERY I,1045,0
175,218726,CLEANING,3044,0
177,219147,BEVERAGES,1122,0
178,219150,BEVERAGES,1122,0
179,219152,BEVERAGES,1122,0
181,220435,GROCERY I,1080,0
182,220613,DELI,2632,1
183,221506,CLEANING,3046,0
184,222879,GROCERY I,1058,0
185,222975,GROCERY I,1072,0
186,223068,GROCERY I,1030,0
187,223136,GROCERY I,1072,0
188,223434,GROCERY I,1032,0
189,223463,GROCERY I,1026,0
190,224081,CLEANING,3022,0
191,226126,CLEANING,3018,0
192,226857,GROCERY I,1035,0
193,227111,EGGS,2502,1
194,227728,DAIRY,2104,1
195,229368,GROCERY I,1086,0
196,246052,GROCERY I,1039,0
197,250782,HOME APPLIANCES,6155,0
198,252698,SEAFOOD,2806,1
199,252970,CLEANING,3008,0
200,252972,CLEANING,3008,0
201,253103,BREAD/BAKERY,2712,1
202,253145,GROCERY I,1096,0
203,255161,GROCERY I,1034,0
206,255202,GROCERY I,1045,0
207,257847,BEVERAGES,1120,0
208,257848,BEVERAGES,1120,0
209,258268,EGGS,2502,1
210,258376,CLEANING,3044,0
211,258395,GROCERY I,1002,0
212,258396,GROCERY I,1010,0
213,258411,FROZEN FOODS,2218,0
214,258537,CLEANING,3038,0
216,260669,GROCERY I,1034,0
217,260893,GROCERY I,1072,0
218,261052,GROCERY I,1072,0
219,261053,GROCERY I,1072,0
220,261700,GROCERY I,1048,0
221,262358,GROCERY I,1044,0
222,262991,GROCERY I,1034,0
223,263583,GROCERY I,1074,0
224,264299,CLEANING,3032,0
225,264300,CLEANING,3032,0
227,264452,CLEANING,3024,0
228,264576,FROZEN FOODS,2220,0
229,264751,CLEANING,3032,0
230,264752,CLEANING,3034,0
231,264753,CLEANING,3034,0
232,265086,BEVERAGES,1124,0
233,265237,GROCERY I,1060,0
234,265254,GROCERY I,1016,0
235,265257,GROCERY I,1016,0
236,265258,GROCERY I,1016,0
237,265266,PREPARED FOODS,2986,1
238,265279,BREAD/BAKERY,2718,1
239,265382,LINGERIE,7034,0
240,265559,GROCERY I,1072,0
241,265672,GROCERY I,1056,0
242,265700,CLEANING,3090,0
243,268440,CLEANING,3026,0
244,268443,CLEANING,3026,0
246,268623,CLEANING,3044,0
247,268662,GROCERY I,1028,0
248,268664,GROCERY I,1028,0
249,268676,GROCERY I,1062,0
250,268834,GROCERY I,1056,0
251,269029,BEVERAGES,1122,0
252,269036,BEVERAGES,1122,0
253,269084,BREAD/BAKERY,2720,1
254,269286,CLEANING,3014,0
255,269287,CLEANING,3014,0
256,270522,AUTOMOTIVE,6806,0
257,271478,DAIRY,2124,1
258,271479,DAIRY,2124,1
259,273528,PERSONAL CARE,4114,0
260,273859,GROCERY I,1044,0
261,275823,CLEANING,3018,0
262,275826,CLEANING,3018,0
263,276560,GROCERY I,1087,0
264,278806,GROCERY I,1032,0
266,279137,GROCERY I,1086,0
267,279157,DAIRY,2112,1
268,279494,GROCERY I,1062,0
270,302952,BREAD/BAKERY,2712,1
271,302995,GROCERY I,1084,0
272,302997,GROCERY I,1096,0
273,302998,GROCERY I,1096,0
275,305079,GROCERY I,1044,0
276,305080,GROCERY I,1045,0
277,305081,GROCERY I,1045,0
278,305227,GROCERY I,1013,0
279,305229,GROCERY I,1014,0
282,305341,GROCERY I,1092,0
283,305344,GROCERY I,1092,0
284,305345,GROCERY I,1092,0
285,307740,CLEANING,3015,0
286,308085,BEVERAGES,1124,0
287,308726,GROCERY I,1084,0
288,308766,CLEANING,3026,0
289,308916,CLEANING,3004,0
290,308924,CLEANING,3004,0
291,310644,BREAD/BAKERY,2702,1
292,310647,BREAD/BAKERY,2708,1
293,310671,GROCERY I,1034,0
295,311954,CLEANING,3006,0
296,311994,BREAD/BAKERY,2752,1
297,312113,BREAD/BAKERY,2720,1
298,312317,AUTOMOTIVE,6810,0
299,312324,GROCERY I,1044,0
300,312596,GROCERY I,1035,0
302,313641,GROCERY I,1074,0
303,314384,GROCERY I,1004,0
304,314393,CLEANING,3032,0
305,314570,CLEANING,3024,0
306,314879,CLEANING,3034,0
307,314880,CLEANING,3034,0
308,314881,CLEANING,3034,0
309,315176,BEVERAGES,1124,0
310,315178,BEVERAGES,1124,0
311,315179,BEVERAGES,1124,0
312,315180,BEVERAGES,1124,0
313,315220,GROCERY I,1014,0
314,315221,GROCERY I,1014,0
315,315277,GROCERY I,1040,0
316,315279,GROCERY I,1040,0
317,315320,GROCERY I,1066,0
318,315322,GROCERY I,1084,0
319,315460,GROCERY I,1016,0
320,315463,GROCERY II,1236,0
321,315473,BREAD/BAKERY,2718,1
322,315474,BREAD/BAKERY,2718,1
323,315712,GROCERY I,1072,0
324,315713,GROCERY I,1072,0
325,315753,GROCERY I,1030,0
326,317147,CLEANING,3014,0
327,317285,GROCERY II,1236,0
328,318787,GROCERY I,1040,0
329,318847,CLEANING,3026,0
330,318932,DELI,2644,1
331,318935,DELI,2652,1
332,319093,DELI,2630,1
333,319094,DELI,2632,1
334,319095,DELI,2640,1
335,319272,BEVERAGES,1122,0
337,320682,GROCERY I,1080,0
338,321798,CLEANING,3010,0
339,322094,CLEANING,3020,0
340,322095,CLEANING,3020,0
341,323013,GROCERY I,1058,0
342,323217,GROCERY I,1030,0
343,323227,GROCERY I,1030,0
344,323921,PERSONAL CARE,4114,0
345,324206,CLEANING,3022,0
346,326951,GROCERY I,1016,0
347,329070,GROCERY I,1032,0
348,329071,GROCERY I,1032,0
349,329361,GROCERY I,1032,0
350,329362,GROCERY I,1032,0
353,329397,DAIRY,2112,1
354,346065,GROCERY I,1039,0
355,346066,GROCERY I,1039,0
356,346406,GROCERY I,1039,0
357,352513,CLEANING,3012,0
360,354922,GROCERY I,1034,0
361,354964,GROCERY I,1030,0
362,354971,GROCERY I,1044,0
363,355090,GROCERY I,1024,0
364,355091,GROCERY I,1038,0
367,357963,EGGS,2502,1
368,357996,DELI,2632,1
369,358096,GROCERY I,1002,0
370,358100,GROCERY I,1010,0
372,358231,CLEANING,3038,0
373,358232,CLEANING,3038,0
374,358264,GROCERY I,1078,0
375,358272,DAIRY,2112,1
376,358515,GROCERY I,1024,0
377,358519,GROCERY I,1084,0
378,358561,CLEANING,3004,0
379,358564,CLEANING,3004,0
380,359913,BREAD/BAKERY,2716,1
381,360313,BREAD/BAKERY,2702,1
382,360314,BREAD/BAKERY,2702,1
383,360703,GROCERY I,1072,0
384,360704,GROCERY I,1072,0
385,360705,GROCERY I,1072,0
386,361502,GROCERY I,1036,0
387,362035,GROCERY I,1044,0
388,362548,GROCERY I,1042,0
389,363049,PERSONAL CARE,4114,0
390,363868,GROCERY I,1016,0
391,363889,GROCERY I,1058,0
392,363895,CLEANING,3020,0
393,364413,CLEANING,3032,0
394,364606,GROCERY I,1014,0
395,364724,GROCERY I,1084,0
396,364738,BEVERAGES,1124,0
397,364829,GROCERY I,1040,0
398,364832,GROCERY I,1040,0
399,364834,GROCERY I,1040,0
400,364865,GROCERY II,1236,0
401,365138,GROCERY I,1072,0
402,365139,GROCERY I,1072,0
403,365140,GROCERY I,1072,0
404,365264,CLEANING,3090,0
405,368136,GROCERY I,1040,0
406,368139,GROCERY I,1040,0
407,368140,GROCERY I,1040,0
408,368213,DAIRY,2124,1
409,368260,GROCERY I,1028,0
411,368419,DELI,2644,1
412,368424,GROCERY I,1078,0
413,368624,BEVERAGES,1122,0
414,368628,BEVERAGES,1122,0
415,369432,GROCERY I,1036,0
416,370042,GROCERY I,1080,0
417,371130,CLEANING,3046,0
418,371218,DAIRY,2116,1
419,371434,GROCERY I,1058,0
420,371437,CLEANING,3020,0
421,371438,CLEANING,3020,0
422,372369,DAIRY,2114,1
423,372480,GROCERY I,1072,0
424,372924,GROCERY I,1002,0
425,372937,GROCERY I,1032,0
426,373152,PERSONAL CARE,4114,0
427,374464,GROCERY I,1016,0
428,376194,GROCERY I,1016,0
429,376427,EGGS,2502,1
430,376483,PREPARED FOODS,2966,1
431,377978,"LIQUOR,WINE,BEER",1386,0
432,378330,GROCERY I,1032,0
433,378332,GROCERY I,1032,0
434,378685,DAIRY,2102,1
435,401817,GROCERY I,1078,0
436,401911,CLEANING,3012,0
437,402136,CLEANING,3008,0
438,402174,GROCERY I,1096,0
439,402175,GROCERY I,1096,0
440,402299,BREAD/BAKERY,2718,1
442,404333,GROCERY I,1044,0
444,404336,GROCERY I,1045,0
446,404442,GROCERY I,1034,0
447,404454,GROCERY I,1034,0
448,405304,GROCERY I,1032,0
449,406965,CLEANING,3015,0
450,407499,EGGS,2502,1
452,407533,DELI,2632,1
453,407542,DELI,2644,1
455,407608,CLEANING,3044,0
456,407769,CLEANING,3024,0
457,409738,BREAD/BAKERY,2708,1
458,409739,BREAD/BAKERY,2708,1
459,409904,GROCERY I,1034,0
460,410150,LINGERIE,7016,0
461,410257,GROCERY I,1072,0
462,410866,PREPARED FOODS,2980,1
463,411487,CLEANING,3046,0
464,411555,GROCERY I,1044,0
465,411557,GROCERY I,1044,0
466,413557,GROCERY I,1058,0
467,413986,CLEANING,3032,0
468,413987,CLEANING,3034,0
469,414305,BEVERAGES,1124,0
470,414353,GROCERY I,1014,0
471,414354,GROCERY I,1014,0
472,414421,GROCERY I,1040,0
473,414425,GROCERY I,1040,0
474,414426,GROCERY I,1040,0
475,414454,GROCERY I,1084,0
476,414455,GROCERY I,1084,0
477,414478,BREAD/BAKERY,2718,1
478,414620,GROCERY I,1016,0
479,414621,GROCERY I,1016,0
480,414623,GROCERY I,1016,0
481,414750,GROCERY I,1072,0
482,414752,GROCERY I,1072,0
483,414888,CLEANING,3090,0
484,416252,GROCERY I,1067,0
486,417765,CLEANING,3026,0
487,417835,GROCERY I,1028,0
488,418024,DELI,2630,1
489,418025,DELI,2644,1
490,418026,DELI,2644,1
491,418235,BEVERAGES,1122,0
492,418238,BEVERAGES,1122,0
493,419729,DELI,2652,1
494,420720,DAIRY,2116,1
495,421066,GROCERY I,1004,0
496,422452,GROCERY I,1032,0
497,426155,PREPARED FOODS,2962,1
498,428054,GROCERY I,1032,0
499,428394,GROCERY I,1032,0
500,428488,CLEANING,3030,0
501,437609,GROCERY I,1079,0
502,452022,GROCERY I,1030,0
505,452212,BREAD/BAKERY,2702,1
506,454326,GROCERY I,1044,0
510,454426,GROCERY I,1034,0
511,454589,GROCERY I,1038,0
512,454593,GROCERY I,1092,0
513,454596,GROCERY I,1092,0
514,456870,GROCERY I,1010,0
515,456875,CLEANING,3015,0
516,457424,EGGS,2502,1
517,457425,EGGS,2502,1
519,457556,GROCERY I,1004,0
520,457574,FROZEN FOODS,2226,0
521,457688,CLEANING,3038,0
522,457727,DAIRY,2112,1
523,457928,POULTRY,2416,1
524,458029,CLEANING,3004,0
525,459762,BREAD/BAKERY,2708,1
526,459801,GROCERY I,1034,0
527,459804,GROCERY I,1086,0
528,460804,GROCERY I,1048,0
529,461432,AUTOMOTIVE,6810,0
530,461752,GROCERY I,1035,0
531,462673,GROCERY I,1048,0
532,463458,CLEANING,3020,0
533,463598,CLEANING,3024,0
534,463816,CLEANING,3018,0
535,463901,CLEANING,3034,0
536,463903,CLEANING,3034,0
537,464112,GROCERY I,1092,0
538,464263,GROCERY I,1014,0
539,464302,GROCERY I,1026,0
540,464333,GROCERY I,1040,0
541,464334,GROCERY I,1040,0
542,464336,GROCERY I,1040,0
543,464339,GROCERY I,1040,0
544,464356,GROCERY I,1040,0
545,464374,BEVERAGES,1124,0
546,464385,BREAD/BAKERY,2718,1
547,464536,GROCERY I,1016,0
548,464906,GROCERY I,1012,0
549,464907,GROCERY I,1056,0
550,464940,CLEANING,3090,0
551,467808,CLEANING,3026,0
552,467887,GROCERY I,1076,0
553,468057,DELI,2632,1
554,468058,DELI,2644,1
555,468265,BEVERAGES,1122,0
556,469643,GROCERY I,1030,0
557,470624,CLEANING,3046,0
558,470625,CLEANING,3046,0
559,470760,CLEANING,3004,0
560,470762,CLEANING,3004,0
561,471980,GROCERY I,1058,0
562,471985,DAIRY,2114,1
563,472314,GROCERY I,1030,0
564,472526,GROCERY I,1026,0
565,472645,GROCERY I,1002,0
566,472658,GROCERY I,1032,0
567,476261,EGGS,2502,1
568,476707,DAIRY,2104,1
569,479200,GROCERY I,1093,0
570,502067,GROCERY I,1028,0
571,502182,BREAD/BAKERY,2716,1
572,502224,GROCERY I,1062,0
573,502227,GROCERY I,1096,0
574,502230,GROCERY I,1096,0
575,502331,BREAD/BAKERY,2702,1
577,506717,GROCERY I,1030,0
578,507354,DELI,2690,1
579,507457,FROZEN FOODS,2218,0
580,507478,EGGS,2502,1
581,507479,EGGS,2502,1
582,507641,DAIRY,2124,1
583,507867,GROCERY I,1070,0
584,507870,GROCERY I,1084,0
585,507927,CLEANING,3004,0
586,507958,POULTRY,2416,1
587,507969,POULTRY,2416,1
588,508069,CLEANING,3026,0
589,508947,DAIRY,2112,1
590,509872,GROCERY I,1086,0
591,509877,LINGERIE,7034,0
592,510052,GROCERY I,1072,0
593,510054,GROCERY I,1072,0
594,510055,GROCERY I,1072,0
595,510057,GROCERY I,1072,0
596,511172,BREAD/BAKERY,2712,1
597,511394,AUTOMOTIVE,6810,0
598,511397,GROCERY I,1044,0
599,513379,PERSONAL CARE,4126,0
600,513853,CLEANING,3034,0
601,513855,CLEANING,3034,0
602,514144,GROCERY I,1060,0
603,514149,GROCERY I,1066,0
604,514172,BEVERAGES,1124,0
605,514242,GROCERY I,1026,0
606,514327,PREPARED FOODS,2986,1
607,514444,LINGERIE,7034,0
608,514445,LINGERIE,7034,0
609,514446,LINGERIE,7034,0
610,514597,GROCERY I,1012,0
611,514729,GROCERY I,1048,0
612,514730,GROCERY I,1056,0
613,514757,CLEANING,3090,0
614,517615,GROCERY I,1074,0
615,517903,DELI,2632,1
616,517904,DELI,2636,1
617,517905,DELI,2636,1
618,517906,DELI,2644,1
619,517909,DELI,2690,1
620,518091,BEVERAGES,1122,0
621,518094,BEVERAGES,1122,0
622,519560,DELI,2662,1
623,519718,DELI,2636,1
624,521818,GROCERY I,1058,0
625,522383,GROCERY I,1002,0
626,522721,CLEANING,3016,0
627,522941,GROCERY I,1002,0
628,523054,LINGERIE,7034,0
629,525887,GROCERY I,1032,0
630,525902,EGGS,2502,1
631,527757,GROCERY I,1032,0
632,546043,CLEANING,3005,0
634,552050,BREAD/BAKERY,2716,1
635,554047,GROCERY I,1044,0
636,554048,GROCERY I,1044,0
637,554049,GROCERY I,1045,0
638,554143,GROCERY I,1034,0
641,554152,GROCERY I,1034,0
642,556698,BEVERAGES,1120,0
643,557241,FROZEN FOODS,2226,0
644,557256,EGGS,2502,1
645,557257,EGGS,2502,1
646,557285,DELI,2630,1
647,557286,DELI,2632,1
649,557305,DELI,2652,1
650,557408,DAIRY,2142,1
651,557420,PREPARED FOODS,2960,1
652,557810,GROCERY I,1084,0
653,558730,DAIRY,2112,1
654,559044,BREAD/BAKERY,2716,1
656,559494,BREAD/BAKERY,2708,1
657,559680,GROCERY I,1034,0
658,559682,GROCERY I,1086,0
659,559870,GROCERY I,1072,0
660,559872,GROCERY I,1072,0
661,559873,GROCERY I,1072,0
662,562568,GROCERY I,1096,0
663,563654,CLEANING,3034,0
664,563966,BEVERAGES,1124,0
665,564110,GROCERY I,1066,0
666,564272,GROCERY I,1016,0
667,564274,GROCERY I,1016,0
668,564287,BREAD/BAKERY,2718,1
669,564288,BREAD/BAKERY,2718,1
670,564533,GROCERY I,1012,0
671,564534,GROCERY I,1012,0
673,567579,GROCERY I,1028,0
674,567588,GROCERY I,1062,0
675,567623,GROCERY I,1040,0
676,567644,GROCERY I,1042,0
677,567750,GROCERY I,1056,0
678,567778,DELI,2630,1
679,567779,DELI,2632,1
680,567781,DELI,2636,1
681,567787,GROCERY I,1078,0
682,568133,BEVERAGES,1122,0
683,570869,GROCERY I,1034,0
684,570870,GROCERY I,1086,0
685,570917,GROCERY I,1054,0
686,570922,CLEANING,3020,0
687,572838,CLEANING,3022,0
688,573832,GROCERY I,1016,0
689,574898,CLEANING,3018,0
690,575630,GROCERY I,1035,0
691,575675,GROCERY I,1016,0
692,575863,GROCERY I,1032,0
693,575875,EGGS,2502,1
694,575876,EGGS,2502,1
695,577740,GROCERY I,1032,0
696,577741,GROCERY I,1032,0
697,577743,GROCERY I,1032,0
698,577745,GROCERY I,1032,0
699,578097,DAIRY,2102,1
700,578467,GROCERY I,1062,0
701,579759,GROCERY I,1014,0
702,580929,GROCERY I,1004,0
703,581078,CLEANING,3038,0
704,581742,GROCERY I,1072,0
705,582863,MEATS,2302,1
706,582864,MEATS,2302,1
707,582865,MEATS,2302,1
708,583795,MEATS,2302,1
709,583797,MEATS,2302,1
710,583799,MEATS,2302,1
711,583868,MEATS,2302,1
712,583925,MEATS,2302,1
713,583927,MEATS,2302,1
714,583931,MEATS,2302,1
715,583968,MEATS,2302,1
716,583973,MEATS,2302,1
720,583985,MEATS,2302,1
721,584026,MEATS,2302,1
722,584027,MEATS,2302,1
723,584028,MEATS,2302,1
726,584076,MEATS,2302,1
727,584077,MEATS,2302,1
728,584078,MEATS,2302,1
729,584099,MEATS,2302,1
736,584188,MEATS,2302,1
737,584246,MEATS,2302,1
738,586423,GROCERY I,1056,0
739,586823,CLEANING,3046,0
741,586911,PERSONAL CARE,4114,0
742,586967,PERSONAL CARE,4122,0
743,586969,GROCERY I,1004,0
744,587069,GROCERY I,1004,0
745,587104,MEATS,2302,1
746,587156,CLEANING,3026,0
748,587186,CLEANING,3026,0
749,589403,SEAFOOD,2850,1
750,592801,DAIRY,2114,1
751,592942,GROCERY I,1030,0
752,594045,BREAD/BAKERY,2718,1
753,598414,GROCERY I,1032,0
754,598492,GROCERY I,1032,0
755,603255,GROCERY I,1030,0
757,617092,EGGS,2502,1
758,617096,EGGS,2502,1
759,617103,EGGS,2502,1
761,617548,PERSONAL CARE,4122,0
762,617763,BEAUTY,4222,0
763,619965,DELI,2636,1
764,619969,GROCERY I,1014,0
765,621300,GROCERY I,1040,0
767,623316,MEATS,2302,1
769,623330,GROCERY I,1033,0
770,627263,GROCERY I,1026,0
771,627885,GROCERY I,1030,0
772,627887,GROCERY I,1030,0
773,633735,MEATS,2306,1
775,633996,MEATS,2306,1
776,633997,MEATS,2306,1
777,634008,MEATS,2306,1
778,634009,MEATS,2306,1
779,634010,MEATS,2306,1
780,634014,MEATS,2306,1
781,634015,MEATS,2306,1
782,634054,MEATS,2306,1
783,636846,GROCERY I,1028,0
784,637016,GROCERY I,1078,0
785,638240,CLEANING,3020,0
786,638296,GROCERY I,1062,0
787,638308,GROCERY I,1062,0
788,638327,GROCERY I,1084,0
791,639586,GROCERY I,1004,0
792,640286,"LIQUOR,WINE,BEER",1336,0
793,641042,GROCERY I,1026,0
794,641627,GROCERY I,1002,0
795,645294,GROCERY I,1074,0
796,648313,CLEANING,3020,0
797,651326,GROCERY I,1036,0
798,651523,GROCERY I,1004,0
800,655427,CLEANING,3020,0
801,655744,LINGERIE,7016,0
802,655749,GROCERY I,1096,0
803,655840,LINGERIE,7034,0
804,657869,GROCERY I,1004,0
805,658608,CLEANING,3004,0
806,658609,CLEANING,3004,0
815,660502,GROCERY I,1004,0
816,660503,DAIRY,2124,1
817,661582,"LIQUOR,WINE,BEER",1330,0
819,664537,GROCERY I,1026,0
820,664539,PERSONAL CARE,4126,0
821,664543,PERSONAL CARE,4126,0
822,664545,PERSONAL CARE,4126,0
823,668752,CLEANING,3016,0
824,668753,CLEANING,3016,0
825,668754,CLEANING,3016,0
826,671039,BEVERAGES,1122,0
827,671051,DELI,2630,1
833,671076,DELI,2644,1
834,671079,DELI,2644,1
835,671083,DELI,2644,1
836,671084,DELI,2644,1
837,671684,DELI,2644,1
838,671699,DELI,2662,1
839,671706,DELI,2664,1
840,671708,DELI,2664,1
842,673306,GROCERY I,1072,0
844,673496,BEAUTY,4214,0
845,675524,PREPARED FOODS,2956,1
846,679442,BEVERAGES,1120,0
847,679602,BREAD/BAKERY,2712,1
848,679603,BREAD/BAKERY,2712,1
849,679604,BREAD/BAKERY,2712,1
850,679926,EGGS,2502,1
851,681606,DAIRY,2112,1
852,682321,CLEANING,3028,0
853,682884,CLEANING,3004,0
854,683720,GROCERY I,1062,0
855,683721,GROCERY I,1062,0
856,683722,GROCERY I,1062,0
857,683723,GROCERY I,1062,0
858,686034,BEVERAGES,1122,0
859,686035,BEVERAGES,1122,0
860,686036,CLEANING,3026,0
861,687549,GROCERY I,1062,0
862,688279,"LIQUOR,WINE,BEER",1338,0
863,691945,CLEANING,3026,0
864,692104,CLEANING,3014,0
865,692105,CLEANING,3014,0
866,692106,CLEANING,3014,0
867,692531,GROCERY I,1040,0
868,692537,GROCERY I,1040,0
869,695758,SEAFOOD,2802,1
870,696183,BREAD/BAKERY,2702,1
873,699686,MEATS,2302,1
874,699687,MEATS,2302,1
875,699688,MEATS,2302,1
877,699692,MEATS,2302,1
878,699693,MEATS,2302,1
879,699703,MEATS,2302,1
880,699745,SEAFOOD,2802,1
881,700607,GROCERY I,1096,0
882,700609,FROZEN FOODS,2220,0
883,700610,FROZEN FOODS,2220,0
884,716241,CLEANING,3020,0
885,716242,CLEANING,3020,0
886,716245,CLEANING,3020,0
887,716250,BEVERAGES,1120,0
888,716958,BEAUTY,4254,0
889,723184,DAIRY,2116,1
890,723210,DAIRY,2124,1
891,724003,GROCERY I,1026,0
892,724359,PREPARED FOODS,2956,1
893,724360,BREAD/BAKERY,2722,1
894,724403,BREAD/BAKERY,2722,1
895,724498,GROCERY I,1028,0
896,729337,GROCERY I,1027,0
897,730258,BEVERAGES,1122,0
898,730259,BEVERAGES,1122,0
899,732006,DELI,2642,1
900,732007,DELI,2642,1
901,736128,BREAD/BAKERY,2722,1
902,738219,CLEANING,3026,0
903,740713,CLEANING,3032,0
904,740714,CLEANING,3032,0
905,740722,CLEANING,3026,0
906,740723,CLEANING,3026,0
907,740726,GROCERY I,1072,0
908,740728,GROCERY I,1072,0
909,740729,GROCERY I,1072,0
910,741201,SEAFOOD,2854,1
911,741922,GROCERY I,1028,0
912,742735,PERSONAL CARE,4126,0
913,742738,PERSONAL CARE,4126,0
914,743494,CLEANING,3022,0
915,743496,FROZEN FOODS,2222,0
916,743497,FROZEN FOODS,2222,0
